################ 159.65.134.117 ##########################
Start: 2021-06-25T12:05:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  7.|-- prs-b8-link.ip.twelve99.n  0.0%     5   30.2  30.4  30.2  30.6   0.2
  8.|-- choopa-svc076387-ic365364  0.0%     5   45.9  37.7  30.1  45.9   7.6
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- 95.179.209.168.vultr.com   0.0%     5   30.4  30.3  30.3  30.4   0.0
################ 217.69.15.37 ##########################
Start: 2021-06-25T12:09:57+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5  22.0   0.5  64.2  30.3
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.1
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.5   0.6   0.5   0.8   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ffm-bb1-link.ip.twelve99.  0.0%     5   31.2  31.2  31.1  31.4   0.1
  6.|-- prs-bb1-link.ip.twelve99.  0.0%     5   30.8  30.7  30.7  30.8   0.0
  7.|-- prs-bb3-link.ip.twelve99.  0.0%     5   31.1  31.1  31.1  31.2   0.0
  8.|-- prs-b8-link.ip.twelve99.n  0.0%     5   30.1  30.1  30.1  30.1   0.0
  9.|-- choopa-svc076387-ic365364  0.0%     5   31.0  30.9  30.8  31.0   0.1
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 217.69.15.37.vultr.com     0.0%     5   30.4  30.4  30.3  30.4   0.0
################ 68.183.38.119 ##########################
Start: 2021-06-25T12:10:09+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5   45.3  13.2   0.5  45.3  19.7
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    2.0   0.6   0.2   2.0   0.8
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.6   0.5   0.3   0.9   0.3
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.9  22.8  22.8  22.9   0.0
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.9  21.6  21.4  21.9   0.2
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 68.183.38.119              0.0%     5   31.4  31.4  31.3  31.6   0.1
################ 68.183.38.123 ##########################
Start: 2021-06-25T12:10:19+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.4   0.1
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    2.3   4.4   0.3   9.2   3.4
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.8  22.7  22.7  22.8   0.0
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   30.6  23.4  21.6  30.6   4.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 68.183.38.123              0.0%     5   31.4  31.4  31.3  31.7   0.2
################ 178.62.92.19 ##########################
Start: 2021-06-25T12:10:30+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.4   0.3   0.5   0.1
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.9  23.9  22.7  28.5   2.5
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   24.5  22.1  21.5  24.5   1.3
  6.|-- 138.197.250.70             0.0%     5   19.9  20.2  19.9  20.9   0.4
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- 178.62.92.19               0.0%     5   31.4  31.5  31.4  31.9   0.2
################ 206.189.143.44 ##########################
Start: 2021-06-25T12:10:45+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5   48.7  14.9   0.5  48.7  21.2
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   3.4   0.2  16.3   7.2
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.8   0.7   0.6   0.8   0.1
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.6   1.7   1.3   2.6   0.5
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   10.9  11.0  10.8  11.1   0.1
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   15.9  16.0  15.9  16.3   0.2
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   24.0  24.0  23.9  24.2   0.1
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.2  32.2  32.2  32.3   0.0
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   42.8  42.9  42.7  43.0   0.1
 10.|-- bharti.demarc.cogentco.co  0.0%     5   38.8  46.7  38.5  79.2  18.1
 11.|-- 182.79.152.114             0.0%     5  164.7 164.7 164.6 164.8   0.1
 12.|-- 202.56.198.30              0.0%     5  158.2 158.3 158.2 158.3   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 206.189.143.44             0.0%     5  158.6 158.6 158.4 158.9   0.2
################ 142.93.219.128 ##########################
Start: 2021-06-25T12:11:02+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- te0-6-0-7.rcr21.b015775-1  0.0%     5    0.9   0.8   0.6   0.9   0.1
  4.|-- be2760.ccr22.sto03.atlas.  0.0%     5    1.4   1.6   1.3   2.5   0.5
  5.|-- be2557.rcr21.cph01.atlas.  0.0%     5   10.9  10.9  10.8  11.0   0.1
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.0  16.0  15.9  16.3   0.1
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   23.9  23.9  23.9  23.9   0.0
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.1  32.2  32.0  32.6   0.2
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   43.0  43.0  42.9  43.1   0.1
 10.|-- bharti.demarc.cogentco.co  0.0%     5   38.5  38.9  38.5  40.0   0.6
 11.|-- 182.79.153.10              0.0%     5  158.3 159.2 158.3 162.6   1.9
 12.|-- 202.56.198.30              0.0%     5  159.1 159.1 159.0 159.3   0.1
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 142.93.219.128             0.0%     5  169.6 169.8 169.6 170.3   0.3
################ 68.183.84.220 ##########################
Start: 2021-06-25T12:11:21+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.8   0.2
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.7   0.7   0.6   0.9   0.1
  4.|-- be2760.ccr22.sto03.atlas.  0.0%     5    1.3   1.3   1.2   1.4   0.1
  5.|-- be2557.rcr21.cph01.atlas.  0.0%     5   11.2  11.0  10.8  11.2   0.2
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.2  16.1  15.9  16.3   0.2
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   23.9  23.9  23.9  24.0   0.1
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.1  32.1  32.1  32.2   0.0
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   74.0  49.4  42.7  74.0  13.8
 10.|-- bharti.demarc.cogentco.co  0.0%     5   40.5  40.4  38.6  45.6   3.0
 11.|-- 182.79.153.10              0.0%     5  165.5 165.6 165.5 165.7   0.1
 12.|-- 202.56.198.30              0.0%     5  166.2 166.2 166.1 166.2   0.0
 13.|-- 138.197.249.19             0.0%     5  173.2 173.2 173.2 173.4   0.1
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 68.183.84.220              0.0%     5  166.4 166.6 166.4 167.2   0.3
################ 68.183.92.242 ##########################
Start: 2021-06-25T12:11:33+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.4   0.7   0.2   1.9   0.7
  3.|-- te0-6-0-7.rcr21.b015775-1  0.0%     5    0.7   1.0   0.7   1.9   0.5
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.3   1.4   1.2   1.5   0.1
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   11.2  11.0  10.9  11.2   0.1
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.3  16.1  15.9  16.4   0.2
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   24.0  24.0  23.9  24.1   0.1
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.2  32.2  32.1  32.4   0.1
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   42.7  42.8  42.7  42.9   0.1
 10.|-- bharti.demarc.cogentco.co  0.0%     5   38.6  45.9  38.6  72.0  14.6
 11.|-- 116.119.57.96              0.0%     5  157.8 157.9 157.8 158.0   0.1
 12.|-- 202.56.198.58              0.0%     5  158.4 158.3 158.3 158.4   0.0
 13.|-- 138.197.249.23             0.0%     5  173.1 167.7 165.3 173.1   3.5
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- elawyers.lk                0.0%     5  158.3 158.4 158.3 158.8   0.2
################ 142.93.211.113 ##########################
Start: 2021-06-25T12:11:49+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    1.0   0.7   0.2   1.4   0.5
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    1.2   0.8   0.7   1.2   0.2
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.3   1.3   1.3   1.4   0.1
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   11.1  11.0  10.9  11.1   0.1
  6.|-- be2504.ccr42.ham01.atlas.  0.0%     5   16.2  16.1  16.0  16.3   0.1
  7.|-- be2816.ccr42.ams03.atlas.  0.0%     5   23.9  23.9  23.8  24.1   0.1
  8.|-- be12266.ccr42.par01.atlas  0.0%     5   32.3  32.2  32.1  32.3   0.1
  9.|-- be3093.ccr22.mrs01.atlas.  0.0%     5   43.1  42.9  42.8  43.1   0.1
 10.|-- bharti.demarc.cogentco.co  0.0%     5   43.4  49.2  42.5  65.4   9.9
 11.|-- 116.119.55.247             0.0%     5  157.4 157.6 157.4 157.7   0.1
 12.|-- 202.56.198.30              0.0%     5  158.6 158.7 158.6 159.0   0.2
 13.|-- 138.197.249.19             0.0%     5  165.6 165.6 165.6 165.7   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 142.93.211.113             0.0%     5  165.4 165.6 165.4 166.2   0.3
################ 142.93.219.88 ##########################
Start: 2021-06-25T12:12:01+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.5   0.7   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.2   0.2   0.3   0.0
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.7   0.6   0.6   0.7   0.0
  4.|-- be2760.ccr22.sto03.atlas.  0.0%     5    1.8   1.5   1.3   1.8   0.2
  5.|-- be2557.rcr21.cph01.atlas.  0.0%     5   11.2  11.0  10.8  11.2   0.2
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.2  16.2  15.9  16.4   0.2
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   23.9  35.8  23.9  53.5  16.1
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.3  32.1  32.1  32.3   0.1
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   42.7  43.1  42.7  43.7   0.4
 10.|-- bharti.demarc.cogentco.co  0.0%     5   38.5  38.6  38.5  38.8   0.1
 11.|-- 182.79.153.10              0.0%     5  157.3 158.9 157.3 164.7   3.2
 12.|-- 202.56.198.30              0.0%     5  158.1 158.1 158.1 158.2   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 142.93.219.88              0.0%     5  158.6 159.0 158.6 159.4   0.3
################ 45.76.219.103 ##########################
Start: 2021-06-25T12:12:12+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   3.7   0.5  15.9   6.8
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    2.4   0.8   0.2   2.4   0.9
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.6   0.8   0.6   1.0   0.2
  4.|-- s-bb2-link.ip.twelve99.ne 20.0%     5  237.2 237.1 237.0 237.2   0.1
  5.|-- ffm-bb2-link.ip.twelve99.  0.0%     5  238.6 238.5 238.3 238.6   0.1
  6.|-- mei-b4-link.ip.twelve99.n  0.0%     5   36.2  36.4  36.1  37.2   0.4
  7.|-- hnk-b2-link.ip.twelve99.n  0.0%     5  191.0 191.2 191.0 191.4   0.1
  8.|-- tky-b1-link.ip.twelve99.n  0.0%     5  238.2 240.3 238.1 248.4   4.6
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 45.76.219.103.vultr.com    0.0%     5  236.7 236.8 236.7 236.9   0.1
################ 37.139.27.221 ##########################
Start: 2021-06-25T12:12:23+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.4   0.1
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.7   0.3   2.1   0.8
  4.|-- ae3-0.khk7nqp7.dk.ip.tdc.  0.0%     5    9.4   9.3   9.3   9.4   0.1
  5.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- 37.139.27.221              0.0%     5   21.2  21.2  21.1  21.2   0.0
################ 142.93.229.233 ##########################
Start: 2021-06-25T12:12:33+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    1.5   1.0   0.2   2.5   1.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.3   0.3   0.4   0.0
  4.|-- ae3-0.khk7nqp7.dk.ip.tdc.  0.0%     5   12.3  10.3   9.1  12.3   1.4
  5.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  6.|-- 138.197.244.83             0.0%     5   19.2  19.8  19.1  21.4   1.0
  7.|-- 138.197.250.85             0.0%     5   19.7  19.7  19.7  19.8   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 142.93.229.233             0.0%     5   21.2  21.3  21.2  21.6   0.2
################ 192.241.161.231 ##########################
Start: 2021-06-25T12:12:44+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.8   0.4   2.1   0.7
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.4   0.2   1.1   0.3
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.6   0.9   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 4.14.218.22                0.0%     5  100.8 100.8 100.8 100.9   0.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- 192.241.161.231            0.0%     5   93.7  93.7  93.7  93.7   0.0
################ 192.241.165.30 ##########################
Start: 2021-06-25T12:12:55+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   9.7   0.5  46.7  20.7
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    1.3   0.5   0.2   1.3   0.4
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.6   0.7   0.0
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 4.14.218.22                0.0%     5  101.2 101.6 101.2 102.8   0.7
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- 192.241.165.30             0.0%     5   94.0  94.2  94.0  95.1   0.5
################ 192.241.207.189 ##########################
Start: 2021-06-25T12:13:05+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.4   0.1
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.8   0.7   0.7   0.8   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 4.14.33.54                 0.0%     5  165.7 165.7 165.6 165.7   0.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 192.241.207.189            0.0%     5  161.4 161.6 161.4 162.1   0.3
################ 2.58.44.62 ##########################
Start: 2021-06-25T12:13:16+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.5   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- xe-2-2-1-0.bb1.cph1.dk.m2  0.0%     5   10.5  11.0  10.4  13.0   1.1
  4.|-- te-3-14-0.bb1.nyc1.us.m24  0.0%     5   26.6  27.0  26.5  27.8   0.6
  5.|-- xe-1-0-2-0.bb1.tyo1.jp.m2  0.0%     5   26.8  26.8  26.6  27.0   0.2
  6.|-- 217.138.223.233            0.0%     5   49.6  52.9  29.5  91.8  23.2
  7.|-- irb-0.agg2.thg1.nl.m247.c  0.0%     5   46.6  52.0  39.4  77.8  14.9
  8.|-- 2.58.44.62                 0.0%     5   27.4  27.5  27.4  27.6   0.1
################ 91.207.173.182 ##########################
Start: 2021-06-25T12:13:32+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5  10.5   0.5  50.7  22.4
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.4   0.6   0.3   1.4   0.5
  3.|-- 37.120.220.17              0.0%     5   10.5  10.5  10.4  10.5   0.0
  4.|-- xe-1-3-2-0.core1.fra2.de.  0.0%     5   29.5  29.7  29.4  30.8   0.6
  5.|-- xe-1-0-0-0.bb1.wco1.sg.m2  0.0%     5  195.8 195.1 194.9 195.8   0.4
  6.|-- vlan2902.as04.wco1.sg.m24  0.0%     5  195.2 197.5 195.2 206.6   5.1
  7.|-- 91.207.173.182             0.0%     5  195.0 195.0 194.9 195.0   0.0
################ 91.207.173.186 ##########################
Start: 2021-06-25T12:13:44+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   2.0   0.2   7.0   2.8
  3.|-- xe-2-2-1-0.bb1.cph1.dk.m2  0.0%     5   10.5  10.5  10.4  10.6   0.0
  4.|-- xe-1-3-2-0.core1.fra2.de.  0.0%     5   30.0  29.5  29.4  30.0   0.2
  5.|-- xe-1-0-0-0.bb1.wco1.sg.m2  0.0%     5  188.2 188.3 188.2 188.4   0.0
  6.|-- vlan2902.as04.wco1.sg.m24  0.0%     5  188.6 189.3 188.6 192.0   1.5
  7.|-- 91.207.173.186             0.0%     5  188.3 188.3 188.3 188.3   0.0
################ 23.227.143.74 ##########################
Start: 2021-06-25T12:13:55+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   1.0   0.3   2.7   1.1
  3.|-- te0-6-0-7.rcr21.b015775-1  0.0%     5    0.7   0.7   0.6   0.8   0.1
  4.|-- be2760.ccr22.sto03.atlas.  0.0%     5    1.3   1.4   1.3   1.4   0.0
  5.|-- be2557.rcr21.cph01.atlas.  0.0%     5   11.1  10.9  10.9  11.1   0.1
  6.|-- be2504.ccr42.ham01.atlas.  0.0%     5   16.2  16.1  15.9  16.3   0.1
  7.|-- be2816.ccr42.ams03.atlas.  0.0%     5   24.0  24.0  23.9  24.1   0.1
  8.|-- be12488.ccr42.lon13.atlas  0.0%     5  100.5 100.5 100.4 100.7   0.1
  9.|-- be2490.ccr42.jfk02.atlas.  0.0%     5   98.6  98.6  98.6  98.7   0.0
 10.|-- be2272.rcr21.ewr02.atlas.  0.0%     5   98.9  99.0  98.9  99.1   0.1
 11.|-- be3118.rcr21.ewr06.atlas.  0.0%     5   98.2  98.2  98.2  98.3   0.0
 12.|-- be3551.nr51.b033057-0.ewr  0.0%     5   98.5  98.6  98.5  98.8   0.2
 13.|-- 38.122.244.34              0.0%     5   98.4  98.4  98.4  98.5   0.1
 14.|-- 10.3.3.2                   0.0%     5  100.1 100.3 100.1 100.5   0.2
 15.|-- 23.227.143.74              0.0%     5   98.3  98.3  98.3  98.3   0.0
################ 92.38.148.57 ##########################
Start: 2021-06-25T12:14:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5   80.4  39.9   3.9  80.4  30.9
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.7   0.8   0.7   0.9   0.1
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.3   1.7   1.2   3.0   0.8
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   11.2  11.2  11.1  11.4   0.1
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.2  16.1  15.9  16.4   0.2
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   23.8  24.0  23.8  24.4   0.2
  8.|-- be12194.ccr41.lon13.atlas  0.0%     5  122.9 124.7 122.6 132.8   4.5
  9.|-- be2317.ccr41.jfk02.atlas.  0.0%     5  121.2 121.0 121.0 121.2   0.1
 10.|-- be2889.ccr21.cle04.atlas.  0.0%     5  120.0 120.0 119.8 120.1   0.1
 11.|-- be2717.ccr41.ord01.atlas.  0.0%     5  119.8 119.9 119.8 120.0   0.1
 12.|-- be2831.ccr21.mci01.atlas.  0.0%     5  132.1 131.8 131.7 132.1   0.2
 13.|-- be3035.ccr21.den01.atlas.  0.0%     5  142.9 143.1 142.9 143.5   0.2
 14.|-- be3037.ccr21.slc01.atlas.  0.0%     5  153.7 153.8 153.7 153.9   0.1
 15.|-- be3109.ccr21.sfo01.atlas.  0.0%     5  171.0 169.1 168.4 171.0   1.1
################ 37.120.199.150 ##########################
Start: 2021-06-25T12:14:21+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.6   0.1
  3.|-- 37.120.220.17              0.0%     5   10.5  10.7  10.5  11.4   0.4
  4.|-- xe-1-3-2-0.core1.fra2.de.  0.0%     5   29.6  30.1  29.4  31.4   0.8
  5.|-- xe-0-3-3-0.bb2.zur1.ch.m2  0.0%     5   35.0  35.1  35.0  35.2   0.1
  6.|-- xe-1-3-0-0.bb1.mil1.it.m2  0.0%     5   41.2  41.2  41.2  41.2   0.0
  7.|-- vlan2904.bb2.mil1.it.m247  0.0%     5   39.0  39.3  38.9  40.6   0.7
  8.|-- xe-1-0-2-0.bb1.mad1.es.m2  0.0%     5   57.0  57.0  56.9  57.3   0.2
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- vlan2910.as08.mad1.es.m24  0.0%     5   57.1  88.0  57.1 127.7  30.8
